section,set,number_in_set,question,answer
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,63,penyakit,disease
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,64,penyelenggaraan,the act/process of organizing/conducting an event
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,65,penyumbatan,blockage
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,66,perkembangan,development
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,67,"persendian, sendi",joint
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,68,"pilih, memilih",to choose
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,69,porsi,portion
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,70,resiko,risk
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,71,sarjana,bachelor (degree)
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,72,sebanyak,"as much as, as many as"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,73,sektor,sector
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,74,seni,art
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,75,sesuai,in accordance with
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,76,standar,standard
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,77,sumbangan,donation
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,78,surut,"recede, receding"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,79,tantangan,challenge
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,80,"tarik, menarik",to pull
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,81,"tekan, menekan",to press
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,82,tekanan,"pressure, stress"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,83,teknik,technique
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,84,teratur,"regular, organized, arranged"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,85,terjemahan,translation
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,86,terkena,"affected by, exposed to"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,87,timbul,"to arise, to emerge"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,88,tubuh,body
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,89,tujuan,"destination; purpose, aim"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,90,"turis, wisatawan",tourist
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,91,usus,intestines
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,92,"wisata, berwisata",to travel
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,93,yaitu,"namely, that is"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,1,aksi,action
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,2,asalkan,"provided that, as long as"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,3,atasan,"boss, superior"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,4,"badan, tubuh",body
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,5,"bakar, membakar",to burn
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,6,balap,racing
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,7,"bandara, bandar udara, lapangan terbang",airport
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,8,bebas,free (able to act as one wishes; not or no longer confined or imprisoned)
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,9,bentukan,a formation of; something that was formed
